id,name,icao,iata,base,handler,taxi_in_minutes,taxi_out_minutes,callsign_parameters,aircraft_types,load_factor,containers,delete
,Turin Airport,LIMF,TRN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Rome–Fiumicino Leonardo da Vinci International Airport,LIRF,FCO,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Venice Marco Polo Airport,LIPZ,VCE,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Malpensa International Airport,LIMC,MXP,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Milan Bergamo Airport,LIME,BGY,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Verona-Villafranca Valerio Catullo Airport,LIPX,VRN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Pisa International Airport,LIRP,PSA,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Naples International Airport,LIRN,NAP,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Bologna Guglielmo Marconi Airport,LIPE,BLQ,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Václav Havel Airport Prague,LKPR,PRG,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
